Data Name,Resource Type,Data Type,Source,Period of Record (published or applicable),Spatial Coverage,Spatial Scale or Resolution,Temporal Scale or Resolution,Methodology Used,Units,Stated Accuracy,Availability/ Distribution,Link,Update Frequency,Abstract/Comments/Notes
"Liquid Transportation Fuels from Coal and Biomass: Technological Status, Costs, and Environmental Impacts",Biomass,"Report, Tables",National Academy of Sciences,"May, 2009",National,National,Annual,Statistical analysis,Dry tons/yr,Unknown,Public,http://www.nap.edu/catalog.php?record_id=12620,Unknown,"Agricultural residues, dedicated energy crops, woody biomass, animal manure, and municipal solid waste. The panel presented a scenario in which 548 million dry tons of lignocellulosic feedstock could be harvested or produced sustainably in 2020. The supply of biomass could exceed the panel‰Ûªs estimate if croplands are used more efficiently or if genetic improvement of dedicated fuel crops exceeds the panel‰Ûªs estimate. In contrast, the panel‰Ûªs estimate could be lower if producers decide not to harvest agricultural residues or not to grow dedicated fuel crops on their CRP land."
"WGA CDEAC Biomass Task Force Report, Supply Addendum",Biomass,Report & Tabular,Western Governors' Association,"January, 2006","WA, OR, ID, MT, WY, CO, NM, AZ, UT, NV, CA, TX, ND, SD, NE, KS, AK and HI",State,"Annual, present and future",Statistical analysis and modeling,Varies by type: bone dry tons/yr; as-is tons; or millions of gallons/day,Unknown,Public,http://www.westgov.org/index.php?option=com_joomdoc&task=doc_download&gid=213&Itemid=,Unknown,"Estimates of current and future biomass feedstocks by state for WGA member states.  Bone dry tons/yr is used for agriculture, forestry, and municipal wastes; as-is tons is used for landfill waste in place; and millions of gallons/day for wastewater treatment plant influent.  Includes supply curves of relative resource cost."
"Securing a Place for Biomass in theNortheast United States:A Review of Renewable Energy andRelated Policies",Biomass,Report & Tabular,"CONEG Policy Research Center, Inc.Northeast Regional Biomass Program","March, 2003","CT, DE, ME, MD, MA, NH, NJ, NY, PA, RI, VT",State,Annual,Statistical analysis,Dry tons/yr,Unknown,Public,http://www.nrbp.org/pdfs/nrbp_final_report.pdf,Unknown,"A survey of biomass resources, power potential, and policies in the 11 states encompassing the Northeast Regional Biomass Program (NRBP): CT, DE, ME, MD, MA, NH, NJ, NY, PA, RI, VT."
Assessment of Biomass Resources and Power Generation Potential in California,Biomass,Report & Tabular,University of California - Davis,"February, 2004",California,County and State,Annual,Statistical analysis,dry ton/yr and MW/yr,Unknown,Public,http://www.energy.ca.gov/2005publications/CEC-500-2005-066/CEC-500-2005-066-D.PDF,Unknown,California's gross and potential technically available biomass resources were quantified and compiled into statewide and county level inventories.
Potential for Biomass Energy Development in South Carolina,Biomass,"Report, Tabular, GIS",U.S. Department of Agriculture Forest Service and South Carolina SC Forestry Commission,"September, 2004",South Carolina,County and State,Annual,Statistical analysis,"Green tons, dry tons",Unknown,Public,http://www.state.sc.us/forest/prod1004.pdf ,Unknown,"This report quantifies the amount of forestry and agricultural biomass that is available for energy production on a sustainable basis in South Carolina. It also determines the economics of utilizing the biomass that is available; conducts a cost/benefit analysis taking into account the direct and indirect benefits to the state, and determine the amount of subsidy that could be justified to promote biomass energy; identifies other factors that should be considered before the State commits to develop a biomass energy program."
Biomass and Bioenergy Resource Assessment for the State of Hawaii,Biomass,Report & Tabular,"State of Hawaii Department of Business, Economic Development and Tourism","December, 2002",Hawaii,County and State,Annual,Statistical analysis,Tons/yr or Dry Tons/yr,Unknown,Public,http://www.hawaii.gov/dbedt/info/energy/publications/biomass-assessment.pdf,Unknown,"An assessment of current and potential biomass and bioenergy resources for the State of Hawaii. It includes the following feedstock: animal wastes, forest products residues, agricultural residues, and urban wastes"
"Biomass Wood Resource Assessment on aCounty-by-County Basis for the State of Georgia",Biomass,Report & Tabular,Georgia Forestry Commission and Southern States Energy Board,"November, 2005",Georgia,County and State,Annual,Statistical analysis,Dry tons,Unknown,Public,http://www.gfc.state.ga.us/ForestMarketing/documents/BiomassWRACountybyCountyGA05.pdf,Unknown,"A biomass wood resource assessment on a county level basis for the State of Georgia: forest, primary mill, urban wood, pecan shells, paper mill sludge, and black liquor. It also analyzes the CRP Program potential."
"Biomass Inventory and BioenergyAssessmentAn Evaluation of Organic Material Resourcesfor Bioenergy Production in Washington State",Biomass,"Report, Tables, Maps",Washington State University and Washington State Department of Ecology,"December, 2005",Washington State,County,Annual,Statistical analysis,Dry tons,Unknown,Public,http://www.ecy.wa.gov/pubs/0507047.pdf,Unknown,"This project geographically identified, categorized, and mapped 45 potential sources in Washington at a county level. The categories included field residues, animal manures, forestry residues, food packing/processing waste, and municipal wastes. The biomass inventory was then converted to potential energy production using anaerobic digestion and simple combustion as representative conversion technologies."
Assessing Ohio‰Ûªs Biomass Resources for Energy Potential Using GIS,Biomass,"Report, Tables, Maps",Ohio State University,"October, 2004",Ohio,County,Annual,Statistical analysis and modeling,Dry tons/yr,Unknown,Public,http://aede.osu.edu/resources/docs/pdf/UFBY8U8T-IAN4-AGWB-MKUE3CSUU1LKGBM2.pdf,Unknown,"This study funded by Ohio DOD involves a geo-referenced inventory by county of Ohio biomass resources for energy. It includes forest and crop residues, livestock manure, municipal solid waste and food processing waste. This is an update and expansion of an earlier (1982) inventory of biomass by Hitzhusen et al."
"Biomass Resource Assessment and UtilizationOptions for Three Counties in Eastern Oregon",Biomass,"Report, Tabular, GIS",McNeil Technologies for Oregon Department of Energy,"December, 2003",Eastern Oregon,"Three counties in Eastern Oregon - Baker, Union and Wallowa ",Annual,Statistical analysis and modeling,Dry tons/yr,Unknown,Public,http://www.oregon.gov/ENERGY/RENEW/Biomass/docs/EOBRA/FullText.pdf,Unknown,"The assessment focused on the use of biomass for electric power generation or conversion to ethanol fuel in Baker, Union and Wallowa Counties. The objectives were to identify how much biomass is generated in the region; how much is available, where it is located, its physical and chemical characteristics and the cost; provide information on best locations for a potential biomass site in each county; evaluate the economic and environmental impacts of biomass use; and provide an overview of biomass energy technologies, feedstock requirements, and the economic potential to convert biomass to electricity or ethanol."
Assessment of Moderate- and High-Temperature Geothermal Resources of the United States,Geothermal,Report,U.S. Geological Survey,2008,United States,,Annual,Modeled,Electric Power (MW),,Public,http://pubs.usgs.gov/fs/2008/3082/pdf/fs2008-3082.pdf,,
The Future of Geothermal Energy,Geothermal,Map,Massachusetts Institute of Technology,"June, 2006",United States,,N/S,Modeling,"Temperature (deg C), depth (m) and flow (L/min)",Unknown,Public,https://www1.eere.energy.gov/geothermal/future_geothermal.html,None Planned,Broad assessment of the potential of enhanced geothermal systems (EGS) within the entire United States.  The study indicates a very broad geothermal EGS resource exists.
"Estimated Temperature at 3, 4, 5, 6, and 10 Kilometer Depths",Geothermal,Map,Idaho National Laboratory,2005,National,,,,,,,http://geothermal.inl.gov/maps/index.shtml,Unknown,"Temperature at specific depths, with and without sedimentary basin thickness contours at 1500 m intervals"
"Geothermal Map of North America, 2004",Geothermal,Map,American Association of Petroleum Geologists,2004,National,Unknown,,Modeled,Heat flow contour mW/m2,Unknown,Public and Commercial,http://www.smu.edu/geothermal/2004NAMap/Geothermal_MapNA_7x10in.gif,Unknown,Map based on terrestrial heat flow as the primary determination for the Earth's crustal/lithospheric thermal conditions.
Surface Heat Flow Map,Geothermal,Map & Tabular,Southern Methodist University,2004,National,Unknown,,Modeled,Heat flow contour mW/m2,Unknown,Public,http://smu.edu/geothermal/heatflow/heatflow.htm,Unknown,Surface heat flow maps and databases
Assessment of Low Temperature Geothermal Resources of the United States,Geothermal,Report,U.S. Geological Survey,1982,United States,,,,Beneficial Heat (GWt),,Public,http://energy.usgs.gov/PDFs/USGS_Circular%20892_1983.pdf,,
Assessment of Geothermal Resource of the United States - 1978 (circ. 790),Geothermal,Report & Maps,U.S. Geological Survey,1978,National,,,,,,,http://pubs.er.usgs.gov/usgspubs/cir/cir790,,
Regional Geothermal Database of the U.S.,Geothermal,Tabular,Southern Methodist University,1989 - 1996,National,Point locations,Sample,Measurements,"Many fields including location; depth (m); surface, maximum, minimum and bottom hole temperature (deg. C)",,Public,http://www.smu.edu/geothermal/georesou/alldata.htm,Unknown,"Database of primarily regional or background wells that determine the heat flow for the United States; temperature gradients and conductivity are used to generate heat flow measurements; some wells close together have been averaged; wells within geothermal anomalies are located, but not utilized in the regional analysis."
Low-Temperature Geothermal Resource Assessment Program,Geothermal,Report & Tabular,Oregon Institute of Technology,"February, 1996","Western U.S. (WA, OR, ID, MT, CO, NM, AZ, UT, NV, CA)",Point locations,,Measurements,"Temperature (deg C), depth (m) and flow (L/min)",Unknown,Public,http://geoheat.oit.edu/pdf/db7.pdf,Unknown,Inventory of the nation's low- and moderate-temperature geothermal resources for the ten western states.
National Geothermal Data System (NGDS),Geothermal,Data & Reports,U.S. Department of Energy,2010,National,Varies,Varies,Varies,Varies,,Public,http://www.geothermaldata.org,Ongoing,"Central repository for geothermal data and reports, with link to distributed data sources."
Western Geothermal Area Database,Geothermal,Tabular,Southern Methodist University,1999,Western United States,Point locations,Sample,Measurements,"Many fields including location; depth (m); surface, maximum, minimum and bottom hole temperature (deg. C)",,Public,http://www.smu.edu/geothermal/georesou/alldata.htm,Unknown,"Database of over 5000 wells in primarily high temperature geothermal areas from the Rockies to the Pacific Ocean; all wells within a geothermal area are located where available;  the majority of the data are from company documents, well logs and publications.  Many of the wells were not previously accessible to the public"
Western United States Geothermal Resources,Geothermal,Map,Idaho National Laboratory,Nov-03,"Western Unityed States (AK, HI, WA, OR, ID, MT, WY, CO, NM, AZ, UT, NV, CA)",Regional,N/A,,Qualitative descriptor,Unknown,Public,http://geothermal.id.doe.gov/maps/index.shtml,None Planned,Identifies broad regions of known or potential geothermal resource
Western United States Geothermal Resources,Geothermal,Tabular,Western Governors' Association,"January, 2006",Western United States,State,N/S,Update of Existing Data,"Many fields including location; depth (m); surface, maximum, minimum and bottom hole temperature (deg. C)",Unknown,Public,http://www.geo-energy.org/reports/States%20Guide.pdf,None Planned,"This assessment updates prior data for near-term development of known hydrothermal resources, showing about 5.6 GW of new power by 2015 at costs less than 8 cents per kWh and an additional 13 GW projected for development within 20 years or sooner at energy costs less than 20 cents/kWh"
WGA CDEAC Geothermal Task Force Report,Geothermal,Report & Tabular,Western Governors' Association,"January, 2006","WA, OR, ID, CO, NM, AZ, UT, NV, CA, AK and HI",State,"Annual, future",,Installed capacity (MW),Unknown,Public,http://www.westgov.org/wga/publicat/CDEAC06.pdf,Unknown,"Estimates of near term future (2015) installed capacity of CSP and distributed solar (PV and solar thermal) by state for WGA member states.  Includes supply curves of relative resource cost.  Note, individual task force report is no longer available online."
Geothermal Resources of the Eastern United States,Geothermal,Report,Idaho National Laboratory,1979,Eastern United States,,,,Heat flow (cal/cm2sec),,Public,http://geothermal.inel.gov/publications/scanned.pdf,,
Alaska Geothermal Resources,Geothermal,Map & GIS,Idaho National Laboratory,"November, 2003",Alaska,State,N/A,,Qualitative descriptor,Unknown,Public,http://geothermal.id.doe.gov/maps/index.shtml,None Planned,"Regions favorable for the discovery at shallow depth (less than 1000m) of thermal water of sufficient temperature for direct-heat applications. It is probable that only small areas of this region are truly underlain by such thermal water; the region represents that part of the state that deserves exploration for thermal areas. The region is defined on the basis of various geothermal and tectonic phenomena such as locations of thermal wells and springs, above-normal heat flow, youthful volcanism, mineralization, and seismicity."
Arizona Geothermal Resources,Geothermal,Map & GIS,Idaho National Laboratory,"February, 2002",Arizona,State,N/A,,Qualitative descriptor,Unknown,Public,http://geothermal.id.doe.gov/maps/index.shtml,None Planned,"Areas favorable for discovery and development of low-temperature (lower than 100å¡C) geothermal resources. They are defined on the basis of thermal springs, thermal wells, and ground-water, geologic and geophysical surveys. These gray areas are modified, in the light of later information, from those shown in the U.S. Geological Survey Circular 790 (Muffler, 1979). Existing knowledge does not in general permit the inference that thermal waters may be found everywhere within the depicted areas, nor do the boundaries represent certain knowledge of the areal extent of the geothermal resources. The boundaries are subject to change as new information is obtained. "
California Geothermal Resources,Geothermal,Map & GIS,Idaho National Laboratory,"February, 2002",California,State,N/A,,Qualitative descriptor,Unknown,Public,http://geothermal.id.doe.gov/maps/index.shtml,None Planned,"Regions favorable for the discovery at shallow depth (less than 1000m) of thermal water of sufficient temperature for direct heat applications. It is probable that only small areas of this region are truly underlain by such thermal water; the region represents that part of the state that deserves exploration for thermal areas. The region is defined on the basis of various geothermal and tectonic phenomena at such as locations of thermal wells and springs, above-normal heat flow, youthful volcanism, mineralization, and seismicity"
Colorado Geothermal Resources,Geothermal,Map & GIS,Idaho National Laboratory,"February, 2002",Colorado,State,N/A,,Qualitative descriptor,Unknown,Public,http://geothermal.id.doe.gov/maps/index.shtml,None Planned,"This coverage shows areas of significant lateral extent favorable for discovery and development of local sources of low-temperature (<90å¡C) water. Areas are defined on the basis of thermal springs, wells and geohydrologic settings generally favorable for recovery of thermal water. Existing knowledge does not in general permit the inference that thermal water may be found everywhere within the depicted areas, nor do the boundaries represent certain knowledge of the areal extent of the geothermal systems"
Gulf Coast States and Oklahoma,Geothermal,Tabular,Southern Methodist University,"September, 2005",Gulf Coast States and Oklahoma,State,N/S,Oil and Gas Well Logs,"Temperature (deg C), depth (m) and flow (L/min)",Unknown,Public,http://smu.edu/geothermal,None Planned,"The resource is hot water co-produced with oil and gas as an enhanced geothermal system.  The water is suitable for electricity production and/or for direct thermal uses prior to re-injection.  At temperatures up to 400å¼F, it is estimated that up to 5300 MW of generation capacity could be achieved.  "
Hawaii Geothermal Resources,Geothermal,Map & GIS,Idaho National Laboratory,Feb-02,Hawaii,State,N/A,,Qualitative descriptor,Unknown,Public,http://geothermal.id.doe.gov/maps/index.shtml,None Planned,"Regions locations where geothermal resources may exist, but evidence suggests that the probability of encountering a geothermal resource having a temperature greater than 200å¡C within 3 kilometers of the surface is 50% or less. The boundaries for these areas were drawn on the basis of geophysical and geochemical evidence and on the basis of the inferred structure and thermal resources of the individual volcanoes on each island. It is unlikely that geothermal resources will be found everywhere within the gray areas; however, the boundaries are believed to encompass all probable geothermal areas within the State of Hawaii. "
Idaho Geothermal Resources,Geothermal,Map & GIS,Idaho National Laboratory,Feb-02,Idaho,State,N/A,,Qualitative descriptor,Unknown,Public,http://geothermal.id.doe.gov/maps/index.shtml,None Planned,"Regions of significant lateral extent favorable for discovery and development of local sources of low-temperature (<90å¡C) water. Areas are defined on the basis of thermal springs, wells, and geohydrological settings generally favorable for recovery of thermal water. Existing knowledge does not in general permit the inference that thermal water may be found everywhere within the depicted areas, nor do the boundaries represent certain knowledge of the areal extent of the geothermal systems. "
Montana Geothermal Resources,Geothermal,Map & GIS,Idaho National Laboratory,Feb-02,Montana,State,N/A,,Qualitative descriptor,Unknown,Public,http://geothermal.id.doe.gov/maps/index.shtml,None Planned,"This coverage shows areas which, because of their geologic history and similarity to areas with know thermal systems, are expected to contain geothermal resources suitable for direct heat applications, in addition to the depicted wells and springs. The primary exploration targets are valley fill sedimentary units (less than 1000 meters in depth) receiving water from deeper basement sources. North of Garrison the area is significantly expanded to maintain private data confidentiality. East of the 109th meridian: Areas without thermal springs or shallow thermal wells, but which contains the Madison Group and deeper aquifers with water temperatures of 60å¡C (140å¡F) or greater (modified from U.S. Geological Survey Open-File Report 81-629). In much of the area wells must be deeper than 2000 meters. Holes of opportunity may be economically viable; however, corrosiveness or salinity of the water and/or limited well yield caused by low aquifer permeability or cementing of casing may impede utilization of this resource."
Nevada Geothermal Resources,Geothermal,Map & GIS,Idaho National Laboratory,Feb-02,Nevada,State,N/A,,Qualitative descriptor,Unknown,Public,http://geothermal.id.doe.gov/maps/index.shtml,None Planned,Regions favorable for the discovery of thermal water at shallow depth (<1000m) of sufficient temperature for direct heat applications. It is probable that only small areas of this region are underlain by such thermal water; the region represents that part of the state that deserves further exploration. Local sources of thermal water may be discovered in areas of Nevada not covered by light or dark gray. Existing data do not document the presence or lack of usable thermal water at shallow depths.
New Geothermal Site Identification and Qualification (Geothermal),Geothermal,Report & Tabular,California Energy Commission,"April, 2004",California,Point locations,Long term,Measurement,Temperature,Unknown,Public,http://www.energy.ca.gov/pier/project_reports/500-04-051.html,Unknown,
New Mexico Geothermal Resources,Geothermal,Map & GIS,Idaho National Laboratory,Feb-02,New Mexico,State,N/A,,Qualitative descriptor,Unknown,Public,http://geothermal.id.doe.gov/maps/index.shtml,None Planned,"This coverage shows areas most favorable for discovery and development of low-temperature (<90å¡C) geothermal resources, defined on the basis of thermal springs, thermal wells, and geohydrologic settings. Areas are modified from those defined in U.S. Geological Survey Circular 790. See Sammel, E.A., 1979, Occurrence of low-temperature geothermal waters in the United States. Additional parts of the Rio Grande rift and other areas which may also be suitable for geothermal discovery but for which data are too sparse or not sufficiently diagnostic to justify inclusion in the darker gray area. Note. Existing knowledge does not in general permit the inference that thermal waters may be found everywhere within the depicted areas, nor do the boundaries represent certain knowledge of the areal extent of the geothermal systems.  The areas digitized by the INEEL from the 1980 New Mexico map were modified by James C. Witcher prior to finalizing the INEEL map."
Oregon Geothermal Resources,Geothermal,Map & GIS,Idaho National Laboratory,Feb-02,Oregon,State,N/A,,Qualitative descriptor,Unknown,Public,http://geothermal.id.doe.gov/maps/index.shtml,None Planned,"Regions favorable for the discovery at shallow depth (less than 1,000m) of thermal water of sufficient temperature for direct heat applications. It is probable that only small areas of this region are truly underlain by such thermal water; the region represents that part of the state that deserves exploration for thermal areas. The region is defined on the basis of various geothermal, volcanic, and tectonic phenomena such as thermal wells and springs, above-normal heat flow, youthful volcanism, mineralization, seismicity, and anomalous concentrations of faults and lineaments. "
Texas Geothermal Assessment for the I35 Corridor East,Geothermal,Report,Southern Methodist University,2010,Eastern Texas,Not stated,Not stated,Modeled,"Temperature (deg F), depth (feet) and heat flow (mW/m2)",Unknown,Public,http://smu.edu/geothermal/publications/SMU_SECO_CM709_TexasGeothermalReport.pdf,Unknown,Geothermal potential for Texas focused east of Interstate 35 utilizing improved subsurface temperature information.
Utah Geothermal Resources,Geothermal,Map & GIS,Idaho National Laboratory,Feb-02,Utah,State,N/A,,Qualitative descriptor,Unknown,Public,http://geothermal.id.doe.gov/maps/index.shtml,None Planned,"Area of significant lateral extent favorable for discovery and development of local sources of low-temperature (<90å¡C) water. Areas are defined on the basis of thermal springs, wells, and geohydrologic settings generally favorable for recovery of thermal water. Existing knowledge does not in general permit the inference that thermal water may be found everywhere within the depicted areas, nor do the boundaries represent certain knowledge of the areal extent of the geothermal systems."
Washington Geothermal Resources,Geothermal,Map & GIS,Idaho National Laboratory,Feb-02,Washington,State,N/A,,Qualitative descriptor,Unknown,Public,http://geothermal.id.doe.gov/maps/index.shtml,None Planned,"Regions favorable for exploration for, and development of, thermal water of sufficient temperature (20å¡C and higher) for direct heat applications. In the Cascade Range physiographic province low-temperature to high-temperature resources are indicated by stratovolcanoes and basaltic volcanic fields less that one million years told, geologically young silicic (andesitic and dacitic) volcanic centers, and hot springs and fumaroles. The Cascades geothermal systems have the best potential for high-temperature development in Washington. In southeastern Washington (generally the Columbia Basin physiographic province) light gray area includes wells with bottom-hole temperatures of 20å¡C and higher, and gradients higher than 45å¡C/km. "
Wyoming Geothermal Resources,Geothermal,Map & GIS,Idaho National Laboratory,Feb-02,Wyoming,State,N/A,,Qualitative descriptor,Unknown,Public,http://geothermal.id.doe.gov/maps/index.shtml,None Planned,"This coverage shows areas known or inferred to be underlain by aquifers containing thermal waters with temperatures higher than 50å¡C. See map explanation for discussion of methodology used to define these areas. Over much of the light gray areas, depth to 50å¡C thermal water is greater than 1500m."
Feasibility Assessment of the Water Energy Resources of the United States for New Low Power and Small Hydro Classes of Hydroelectric Plants,Hydropower,Report,Idaho National Laboratory,"January, 2006",National,Point locations,Annual,Model,Annual Average Power (MWa),,Public,http://hydropower.inl.gov/resourceassessment/index.shtml,Unknown,"Resource sites identified by the 2004 hydropower study (item 51 of the inventory) were further evaluated to determine feasibility of development given site accessibility, proximity to load centers or transmission lines, and land use or environmental sensitivity."
Water Energy Resources of the United States with Emphasis on Low Head/Low Power Resources,Hydropower,Maps & Report,Idaho National Laboratory,"April, 2004",National,Point locations,Annual,Model,,+/- 10%,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,,"Assessment of the water energy resources in the United States using digital elevation models and GIS tools.  The study focused, but was not limited to, low head (<30 ft) low power (<1 MW) resources."
U.S. Hydropower Resource Assessment Final Report,Hydropower,Maps & Report,Idaho National Laboratory,"December, 1998",National,Point locations,Annual,,,,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Assessment of undeveloped hydropower capacity in the United States.
Alabama Hydropower Report,Hydropower,Report,Idaho National Laboratory,"February, 1998",Alabama,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Alaska Hydropower Report,Hydropower,Report,Idaho National Laboratory,"November, 1997",Alaska,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Arizona Hydropower Report,Hydropower,Report,Idaho National Laboratory,"October, 1997",Arizona,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Arkansas Hydropower Report,Hydropower,Report,Idaho National Laboratory,"December, 1993",Arkansas,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
California Hydropower Report,Hydropower,Report,Idaho National Laboratory,"October, 1998",California,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Colorado Hydropower Report,Hydropower,Report,Idaho National Laboratory,"May, 1994",Colorado,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Connecticut Hydropower Report,Hydropower,Report,Idaho National Laboratory,"July, 1995",Connecticut,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Florida Hydropower Report,Hydropower,Report,Idaho National Laboratory,"February, 1998",Florida,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
Georgia Hydropower Report,Hydropower,Report,Idaho National Laboratory,"October, 1998",Georgia,Point locations,Annual,Model,Nameplate Capacity (MW),,Public,http://hydropower.inl.gov/resourceassessment/states.shtml,Unknown,Undeveloped hydropower potential using the Hydropower Evaluation Software model.
